Username,User Age,User Skin Condition,Recommendation Status,Usage Period,Purchase Point,Product Brand,Product Name,Product Rating,Total Users Rated,User Review
nadhirahns, 19 - 24,"Combination, Medium, Warm",nadhirahns recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Matte & Fresh,4.8,61,"Varian uv defender yang aku recommend banget buat orgorg yg gasuka sunscreen yang greasy! karena ada kandungan airlicium yang mampu menyerap kandungan minyak 7x lebih dari sunscreen biasanya. Aku suka packaging dari sunscreen l'orean ini, selain mewah dan kokoh, nozzle  ... "
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,1 month - 3 months,Instagram,Garnier,Light Complete White Speed Multi-Action Whitening Serum Cream Night Restore,3.3,489,"Teksturnya seperti krim gitu, wanginya hampir seperti yogurt atau gimana. Mudah diratakan juga menurut saya. Menurut saya, waktu bangun tidur bikin kulit terasa berminyak, tapi ngga masalah sih buat saya. Lumayan membantu untuk mencerahkan."
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Indomaret,Herborist,Natural Hand and Body Lotion,4.5,299,"SUKA BANGET SAMA DIA!!!! lembabnya nampol hehew, wanginya enak, lama"" bikin kulit cerah? atau sugesti ya? tapi bagus banget jujur, kulit jadi ga kering lagi, meskipun di AC juga tetep lembab bagus deh sukak"
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,Less than 1 week,Lunadorii,Chanel,Allure Parfum Bottle,4.8,15,"cinta bangettt sama produk inii!!! enak bangett wanginya elegan , segerrr tapi ga lebayyy ... dan tahan lama jugaaaa. cukup di semprottt dikit aja wanginyaaa udah menyebarrr apalagi kalo disemprot di skitar nadi >< repurchaseee?? yesssss!!!"
nadhirahns, 19 - 24,"Combination, Medium, Warm",nadhirahns recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris,UV Defender Correct & Protect,4.8,62,"I really love this variant from L'oreal Paris UV Defender. aku kira awalnya correct & protect itu punya warna yang agak oranye, tapi malah lebih ke tinted moisturizer. hasil setelah pemakaian yang aku notice lumayan menutupi uneven skintone ku. Well built karena gam ... "
Intandhian,25 - 29,,Intandhian recommends this product!,1 week - 1 month,Sample,L'Oreal Paris,UV Defender Bright & Clear,4.9,748,"Suka sama produknya ringan dipakainya dan sesuai klaim yang diberikan bakal direkomendasikan ke temen deh kayaknya, di wajah langsung bersih dan cerah banget, suka pokoknya sma nih produk alhamdulilla"
aninagnw,19 - 24,,aninagnw recommends this product!,1 month - 3 months,Shopee,ElsheSkin,Radiant Skin Serum,4.1,1825,"Suka banget sama tekstur dari Elsheskin Radiant Skin Serum ini karena dia cair jadi mudah meresap dan ga lengket sama sekali. Setelah dipakai juga bikin kulit langsung keliatan glowing. Setelah pemakaian rutin, efek brighteningnya bener-bener kerasa si di aku dan memban ... "
Zahiraberl_, 19 - 24,"Oily, Medium Light, Neutral",Zahiraberl_ doesn't recommend this product!,6 months - 1 year,Traditional market,Wardah,EyeXpert Aqua Lash Mascara,3.1,380,"this product sebenernya oke oke aja di bulmat aku, malah tergolong bagus, warnanya item, ga terlalu special, dengan harga yg oke buat pelajar sayangnya, mascara ini blebernya luar biasa sih lupa ngucek mata aja udah kemana mana dan aku biasa pake mascara waterproff jadi ... "
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 month - 3 months,Shopee,Kleveru Organics,Sea Buckhtorn Cleansing Gel,4.4,208,"bagusss dia gentle banget di jenis kulit apapun, kulit aku oily dia lumayan angkat minyak berlebih, samsek ga ketarik, busanya ga terlalu banyak tapi tetep melembabkan dan bersih, bikin calm muka yg lagi breakout/dehidrasi, yang penting sabun muka itu adl gentle/ low pH ... "
asddd, 25 - 29,"Combination, Medium Dark, Warm",asddd recommends this product!,More than 1 year,Official Brand Store,Maybelline,Maybelline,4.4,207,"Bagus untuk diolesin di bibir ku yang kering, cepat menyerap. Biasanya aku pake ini sebagai primer sebelum pake produk lipstick yang lainnya, jadi hasilnya bisa glow dan bibir tetep sehat terawat. Recomended deh cuma ya cepet pudarnya kalo kena makan atau minuman"
Farahnajela, 19 - 24,"Dry, Medium, Neutral",Farahnajela recommends this product!,1 month - 3 months,Brand website,AVOSKIN,Your Skin Bae Serum,4,167,"First time launching uda penasaran banget!! soalnya disini ngecombine Niacinimide sama Centella Asiatica. Hasil dari serum ini bener-bener bagus banget. PIE di wajahku uda pudar dan hampir ilang, selain itu ada bonus brightening juga. I'm so in luv with this Product💓"
meilissee, 19 - 24,"Combination, Medium Light, Neutral",meilissee recommends this product!,3 months - 6 months,Shopee,Biore,UV Aqua Rich Watery Gel SPF 50+/PA++++,4,247,"Sunscreen itu juga cocok-cocokan sih ya sama kondisi kulit. Tadinya agak ragu mau purchase Biore yg ini krn banyak yg udh coba dan mention kalau yg ini ga sebagus yg watery essence, tp krn waktu itu sempet diskon lumayan di Shopee di official store nya, akhirnya ujung2n ... "
aliyyanurzs, 19 - 24,"Oily, Medium Light, Neutral",aliyyanurzs recommends this product!,1 week - 1 month,Tokopedia,AVOSKIN,Advanced Action Eye Ampoule,4.2,117,"packagingnya mewah bgt!! identik sm avoskin, dan udh ada pumpnya. teksturnya gel bening agak kental gt pas keluar dr pumpnya, tp pas diratain di kulit lgsg yg melted gt jd gampang diratain ga bikin keset, so far sih aku suka bgt soalnya dia lumayan bikin lembab jd garis ... "
adecyaw, 25 - 29,"Dry, Medium Dark, Warm",adecyaw recommends this product!,More than 1 year,Shopee,Dr. Bronner's,Pure-Castile Liquid Soap,4,1,"Ini salah satu dari varian dr bronner castile soap yg aku suka, dia wanginya natural banget hampir ke gak ada baunya sih, cocok bgt buat kulit kering atau sensitif, teksturnya cenderung cair dan dia senengnya gak bikin kulit kering habis mandi."
larastika16, 19 - 24,"Oily, Medium, Warm",larastika16 recommends this product!,1 week - 1 month,Shopee,L'Indka,Acne Series Toner,5,28,"Toner yang super enak, lembab banget pas dipakai, aroma juga ga menyengat cocok buat kulit sensitif dong..teksturnya cair sehingga mudah menyerap pada kulit. Kandungannya bagus bagus buat kulit.. yang paling penting cocok buat kulit sensitifku 😊"
Mutia11, 30 - 34,"Combination, Medium, Neutral",Mutia11 recommends this product!,Less than 1 week,Female Daily Event,L'Oreal Paris,UV Defender Matte & Fresh,4.8,60,"UV defender matte & fresh
Menurut aku untuk yang punya kulit yang berminyak ini cocok banget karena ada kandungan airlicium jadi airlicium ini bisa menyerap minyak hingga 7x lebih banyak, dan kulit yang berminyak tidak akan tampak berminyak meskipun di cuaca yang pa ... "
Lailatuslala,19 - 24,,Lailatuslala recommends this product!,Less than 1 week,Brand website,L'Oreal Paris,UV Defender Bright & Clear,4.9,749,"Menurutku L'oreal UV Defender serum protector ini pas banget buat aku. Kemasannya yg pas jadi gak ribet kalau dibawa kemana mana, teksturnya ringan, mudah dibland dan cepat meresap. Membuat kulit tampak cerah dan terlindungi. Setelah coba pemakaian seharian seneng bange ... "
BundaKetcheh84, 35 - 39,"Combination, Medium Light, Neutral",BundaKetcheh84 recommends this product!,More than 1 year,Shopee,Laneige,Laneige Hydro Cream Ex,4.5,46,"Awal pake moisturizer ne tu ceritanya lg frustasi bgt ma wajah krn jd kering greseng2 gitu efek coba2 Sunscreen...!!huhuhu...😓 Moiturizer ne tu bagai bidadari bersayap qu, penolong bgt... Claim melembabkannya terbukti nyata d aq, wajah kering greseng qu tertolong, oooh ... "
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Raecca,Lippie Serum,4.8,2839,"baguss diaa, bibir jadi cantik banget warnanya cuma kalo di apply aja yaa untuk hasil permanen kayanya dia kurang nampol deh soalnya bikin kering gituu, jadi aku pakenya kalo mau keluar rumah aja kaya pake liptint, enaknya dia tahan lamaaa banget, wanginya juga enak sam ... "
asddd, 25 - 29,"Combination, Medium Dark, Warm",asddd recommends this product!,More than 1 year,Shopee,Maybelline,Super Stay Matte Ink,4.6,69,"Buat yang males touch up lipstick berkali kali kaya aku bakal cocok sama produk ini. Mau makan yang berminyak pun bakal tetep stay dibibir seharian, wanginya juga ga ngenyat . Dan hemat banget lagi pake sedikit warnanya langsung keluar banget di bibir ku"
puspaayuu, 18 and Under,"Oily, Medium, Neutral",puspaayuu recommends this product!,1 week - 1 month,Shopee,Raecca,Ion Petals Toner,3.8,10,"kereen diaa, bagus di muka aku calming beruntusan sm jerawat, bikin muka aku cerah masyaAllah, aku beli pas itu krn racun tiktok sih tp emg bagus kok, ingredients dia aman aman aja, ada calendula extract, rose extract, safron extract, dll. untuk tekstur dia watery bange ... "
enef, 30 - 34,"Oily, Medium, Neutral",enef recommends this product!,3 months - 6 months,Brand website,A.Stop,Clear Serum,4.5,40,#PRELOVED# A Stop Clear Serum 55ml Exp date 18.10.2021 IDR150.000. Isi masih full 100%. Wktu it beli di web nya Charis langsung 2 botol. Dijual soalnya jerawatnya dah sembuh. Tingga bekas doang. Minat WA 087855447421
asddd, 25 - 29,"Combination, Medium Dark, Warm",asddd recommends this product!,More than 1 year,Centro,Maybelline,Color Sensational Lipstick,3.8,16,"Lipstick yang selau ada di tas aku, warnanya bagus di bibir aku nude yang jatohnya soft pink . cuma aku merasa dia kaya berat berminyak dan cepet pudarnya jadi harus sering sering dipoles. So far aku seneng ini bisa nyatu di bibir aku yang kadang suka kering dan buat bi ... "
nadhilapn, 25 - 29,"Dry, Medium Light, Neutral",nadhilapn recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Natural Sublime Facial Cleanser,4.6,52,"My first serum-infused facial cleanser! Emang awalnya beli karena mau ganti cleanser dan teracuni dengan serum-infused nya yang ada niacinamide, HA, marula oil, etc. Packagingnya lime green gitu, teksturnya agak slimey liquidy dan warnanya transparan kaya gel, gak ada b ... "
febri_febfeb, 18 and Under,"Oily, Medium Light, Neutral",febri_febfeb recommends this product!,1 week - 1 month,Instagram,Jellys,Pure Face Mask Power Soap (New),5,116,"setelah aku coba sabunnya tuh, aku penasaran banget sama pure face masknya ini. aku suka banget sama pure face masknya ini sebab dia tuh selain mencerahkan wajahku, dia juga bisa mengatasi jerawatku pas meradang radangnya. dan aku suka banget sama hasilnya"
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,1 month - 3 months,Facebook,Wardah,Lightening Night Cream,3.5,933,"Packagingnya lumayan aman, dan harganya juga terjangkau. Tekstur nya gampang diratain dan lumayan cepet nyerep, ga terlalu berbau, dan gaada kesan 'becek' gitu setelah pemakaian. Cuman untuk kulitku dia agak kurang ngelembabin jadi harus dipake 2/3 layer, tapi untuk kla ... "
yollasung, 19 - 24,"Normal, Light, Neutral",yollasung recommends this product!,1 week - 1 month,Shopee,Azarine Cosmetics,Anti Acne & Brightening Serum,4.8,301,"Suka banget sama serum iniii, ga bikin kering, and leave a slightly glow di muka dan berasa ringan banget, yg hebatnya lagi bisa mudarin masalah bekas jerawat gua dalam waktu 3 hari 😱😱 wanginya juga fresh dan bs dipakai untuk pagi dan malam hari"
Friska22, 30 - 34,"Oily, Light, Warm",Friska22 recommends this product!,3 months - 6 months,Instagram,O'sweet Singapore,Ginger Shampoo,3.8,29,"ini shampo uda mahal pake ngefek lagu di kulit kepala aku,antara bt dan seneng sebenarnya,seneng karena ga lagi liat rambut betebaran dimn2 karena rontok ,bt karena mahal harganya,hee...tp ini bener2 kurangin rontok dan bikin rambut lembab si menurut aku kulit kepala ak ... "
febri_febfeb, 18 and Under,"Oily, Medium Light, Neutral",febri_febfeb recommends this product!,1 week - 1 month,Instagram,Jellys,Pure Soap (New),4.9,120,"ngga tau lagi ini tuh sabun bagus banget di kulit aku, nah yang paling aku suka tuh aromanya khas banget harum kelapa manjs manis gitu wangi banget, setelah beberapa hari aja aku pake ini sabun efeknya udah keliatan banget, apalagi aku pake rutin makin cerah ni kulitku� ... "
Rizkianadivi, 19 - 24,"Oily, Medium, Warm",Rizkianadivi recommends this product!,Less than 1 week,Sample,Asepso,The Antiseptic Soap,4.3,253,"aku kira bakalan cocok karena banyak review bagus, tapi ternyata gak di kulit aku buat keluhan jerawat punggungku, dia bikin kering jerawat lama, iya betul. tapi karena ada ingredients ""palm oil"" dia juga bikin jerawat baru bermunculan. jadi hati² ya girl bagi k ... "
berlinfridiary, 30 - 34,"Dry, Medium, Warm",berlinfridiary recommends this product!,1 week - 1 month,Beauty Studio,N'pure,Cica Clear Pad,5,56,"Pas nyoba pertama kali banget pakai CICA Clear pad ga nyangka barangnya sebagus ini, nyaman digunakan dan bener bener langsung buat fresh di wajah, bakal banget di jadiin barang favorit di skin care aku nih. ga bikin kulit kering, ga bau menyengat dan nyaman banget di g ... "
Friska22, 30 - 34,"Oily, Light, Warm",Friska22 recommends this product!,1 month - 3 months,Brand website,theBalm,Hot Mama Shadow/Blush,4.2,56,"aku suka banget,warna nya floral gitu cocok untuk kulit aku uda gru ada kacanya di dalam,yg buat tamph hepi warna nya pigmented banget jadi make sedikir warna nya lansung keluar,uda gtu packednya lucu gitu imut ala2 gadis2 jaman bahela tp keliatab klasik dan g makan tem ... "
feb11,30 - 34,,feb11 recommends this product!,6 months - 1 year,FD Flash Sale,AVOSKIN,Miraculous Refining Toner,4.4,2129,"Bener bener toner yg bagus bgt buat eksfoliasi..dan smnjak dipake dgn serum dipaduin sma PHTE ..kulit yg otomatis mulus gak kusem.. tipsnya harus bner"" kering baru ditimpa skincare lain 🙈😍😍😍😍😍😍😍😍😍😍"
mel_deviana, 19 - 24,"Oily, Medium Light, Cool",mel_deviana recommends this product!,1 week - 1 month,PR Package,N'pure,Cica Clear Pad,5,55,"Kapasnya bener bener bantu kulit kita untuk exfoliasi tapi lembut dan ga bikin iritasi. Terus udah double cleansing ternyata masih banyak kotorannya :( really helpful! Wanginya juga enak, terus ini buka tipikal kapas yang basah banget becek gitu"
Dyahaayu, 19 - 24,"Dry, Medium Light, Warm",Dyahaayu recommends this product!,Less than 1 week,FD Try and Review,Citra,Cocoa Light Body Lotion,4.8,51,"Setelah dapet dan langsung pake di tangan, menurutku baunya enak dan gak ganggu samsek. kayak soft banget aja bau-nya dan memang beneran light di kulit. Nyerap di kulitnya lumayan cepet dan gak gressy sama sekali. Jadi pengen coba varian lainnya karena yang ini cocok so ... "
chindraaaa,25 - 29,,chindraaaa recommends this product!,1 month - 3 months,Shopee,AVOSKIN,Perfect Hydrating Treatment Essence,4.2,1876,"PHTE tuh love banget, aku udah hampir habis 2 botol. Di aku, PHTE tuh bikin kulit wajah jadi lembab dan kinclong. Untuk aku yang males bgt pakai skincare (hanya pakai malam hari) aja udah kerasa banget manfaatnya sampe temen2 bilang kalau kulitku kinclong. Worth to try  ... "
devilastri, 25 - 29,"Normal, Medium Light, Neutral",devilastri recommends this product!,Less than 1 week,Brand website,N'pure,Brightening Bar Soap,3.9,13,"nah ini juga aku cukup suka varian coffenya,, harum dan nyegerin, fresh sekali wangi kopinya, cocok untuk membersihkan kotoran di kulitku yanh seharian bekerja out door, ini aku review semasa aku kerja dulu yah dears,, you must try and review product,"
tsanqinr, 19 - 24,"Dry, Medium, Warm",tsanqinr recommends this product!,Less than 1 week,FD Try and Review,L'Oreal Paris, UV Defender Moist & Fresh,4.8,59,"this is gonna be my favorite sunscreen! enak banget performanya mulai dari tekstur yang paling ringan dari semuanya sampai paling bikin melembabkan di kulit aku, bener bener sesuai sama namanya. Pertama kali aku coba tuh langsung di timpa sama makeup kan dan itu hampir  ... "
